"Nr","ID","Examination_nr","Examination_type_nr","Task_type","target","performed","Date"
420,10,1,1,"abduction",120,112.2,"2018-02-25 16:45:34"
421,10,1,1,"abduction",58.9,59.1,"2018-02-25 16:45:53"
422,10,1,1,"abduction",91.9,86.9,"2018-02-25 16:46:12"
423,10,1,1,"abduction",119.5,113.2,"2018-02-25 16:46:38"
424,10,1,1,"abduction",61.6,64.4,"2018-02-25 16:46:55"
425,10,1,1,"abduction",91.1,83.3,"2018-02-25 16:47:12"
426,10,1,1,"abduction",122.9,120.5,"2018-02-25 16:47:34"
427,10,1,2,"flexion",61.3,63.9,"2018-02-25 16:48:42"
428,10,1,2,"flexion",89,84.1,"2018-02-25 16:49:03"
429,10,1,2,"flexion",119.6,113.9,"2018-02-25 16:49:23"
430,10,1,2,"flexion",60.6,70,"2018-02-25 16:49:47"
431,10,1,2,"flexion",91.5,82,"2018-02-25 16:50:07"
432,10,1,2,"flexion",120.1,114.1,"2018-02-25 16:50:31"
433,10,1,2,"flexion",59.8,67.4,"2018-02-25 16:50:52"
434,10,1,2,"flexion",91.2,86.1,"2018-02-25 16:51:10"
435,10,1,2,"flexion",119.7,106.7,"2018-02-25 16:51:33"
436,10,1,2,"flexion",61.9,70.9,"2018-02-25 16:51:57"
437,10,1,2,"flexion",91.4,83.6,"2018-02-25 16:52:17"
438,10,1,2,"flexion",121.1,117.9,"2018-02-25 16:52:39"
439,10,1,2,"flexion",59.3,63.6,"2018-02-25 16:53:03"
440,10,1,2,"flexion",90.5,88.4,"2018-02-25 16:53:25"
441,10,1,2,"flexion",121.5,114.4,"2018-02-25 16:53:47"
442,11,1,1,"abduction",59.9,68.1,"2018-02-25 17:35:40"
443,11,1,1,"abduction",87,90.3,"2018-02-25 17:35:52"
444,11,1,1,"abduction",122.2,117.7,"2018-02-25 17:36:09"
445,11,1,1,"abduction",63.1,75.6,"2018-02-25 17:36:22"
446,11,1,1,"abduction",85.3,89.5,"2018-02-25 17:36:35"
447,11,1,1,"abduction",117.6,110.1,"2018-02-25 17:36:51"
448,11,1,1,"abduction",61.2,68.9,"2018-02-25 17:37:02"
449,11,1,1,"abduction",89,88.9,"2018-02-25 17:37:13"
450,11,1,1,"abduction",112.1,110.7,"2018-02-25 17:37:25"
451,11,1,1,"abduction",62.6,69.6,"2018-02-25 17:37:37"
452,11,1,1,"abduction",89.8,91.1,"2018-02-25 17:37:48"
453,11,1,1,"abduction",117.9,116.5,"2018-02-25 17:38:01"
454,11,1,1,"abduction",58.8,66.6,"2018-02-25 17:38:15"
455,11,1,1,"abduction",87.7,87,"2018-02-25 17:38:26"
456,11,1,1,"abduction",116.3,115.3,"2018-02-25 17:38:39"
457,11,1,2,"flexion",62.3,68.7,"2018-02-25 17:40:24"
458,11,1,2,"flexion",88.3,95,"2018-02-25 17:40:35"
459,11,1,2,"flexion",118.2,122.3,"2018-02-25 17:40:47"
460,11,1,2,"flexion",64.7,73.8,"2018-02-25 17:41:02"
461,11,1,2,"flexion",89.4,97.6,"2018-02-25 17:41:13"
462,11,1,2,"flexion",118.4,122.3,"2018-02-25 17:41:24"
463,11,1,2,"flexion",64.1,76.2,"2018-02-25 17:41:36"
464,11,1,2,"flexion",90.5,95.8,"2018-02-25 17:41:46"
465,11,1,2,"flexion",119.1,118.5,"2018-02-25 17:41:57"
466,11,1,2,"flexion",64.2,77.7,"2018-02-25 17:42:07"
467,11,1,2,"flexion",91.1,94.7,"2018-02-25 17:42:18"
468,11,1,2,"flexion",119.7,117.6,"2018-02-25 17:42:30"
469,11,1,2,"flexion",62.7,70.5,"2018-02-25 17:42:40"
470,11,1,2,"flexion",90.2,94.5,"2018-02-25 17:42:50"
471,11,1,2,"flexion",117.9,121.7,"2018-02-25 17:43:02"
472,12,1,1,"abduction",61.8,65.7,"2018-02-26 17:34:23"
473,12,1,1,"abduction",90.6,91.7,"2018-02-26 17:34:37"
474,12,1,1,"abduction",120.2,121,"2018-02-26 17:34:51"
475,12,1,1,"abduction",60.6,70.4,"2018-02-26 17:35:06"
476,12,1,1,"abduction",93.1,93.9,"2018-02-26 17:35:18"
477,12,1,1,"abduction",122.3,128.1,"2018-02-26 17:35:33"
478,12,1,1,"abduction",62.4,73.4,"2018-02-26 17:35:47"
479,12,1,1,"abduction",89.8,98.8,"2018-02-26 17:36:01"
